name,ranking,image
Bunnie,68,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c150_i.png
Lobo,69,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c378_i.png
Gayle,70,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c158_i.png
Peanut,71,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c184_i.png
Lyman,72,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c346_i.png
Ruby,73,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c435_i.png
Teddy,74,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c321_i.png
Daisy,75,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c389_i.png
Ozzie,76,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c148_i.png
Cube,77,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c33_i.png
Kidd,78,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c205_i.png
Phoebe,79,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c128_i.png
Hamlet,80,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c171_i.png
Vesta,81,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c122_i.png
Shari,82,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c117_i.png
Antonio,83,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c356_i.png
Freya,84,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c425_i.png
June,85,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c162_i.png
Mitzi,86,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c320_i.png
Chrissy,87,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c286_i.png
Shep,88,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c397_i.png
Eugene,89,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c364_i.png
Drago,90,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c53_i.png
Kid Cat,91,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c254_i.png
Puddles,92,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c17_i.png
Wendy,93,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c271_i.png
Bones,94,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c258_i.png
Biskit,95,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c154_i.png
Midge,96,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c84_i.png
Wade,97,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c368_i.png
Henry,98,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c316_i.png
Dobie,99,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c58_i.png
Roscoe,100,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c192_i.png
Flo,101,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c295_i.png
Ellie,102,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c153_i.png
Reneigh,103,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c449_i.png
Dizzy,104,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c228_i.png
Tutu,105,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c309_i.png
Dotty,106,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c85_i.png
Mira,107,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c219_i.png
Sprocket,108,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c410_i.png
Cranston,109,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c318_i.png
Static,110,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c223_i.png
Rex,111,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c238_i.png
Bill,112,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c41_i.png
Cheri,113,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c88_i.png
Ribbot,114,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c54_i.png
Snake,115,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c376_i.png
Chief,116,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c430_i.png
Nan,117,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c282_i.png
Julia,118,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c247_i.png
Celia,119,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c96_i.png
Sterling,120,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c422_i.png
Biff,121,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c101_i.png
Lopez,122,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c277_i.png
Canberra,123,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c155_i.png
Sydney,124,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c198_i.png
Gala,125,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c78_i.png
Olivia,126,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c43_i.png
Pinky,127,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c303_i.png
Joey,128,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c7_i.png
Rolf,129,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c279_i.png
Stella,130,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c116_i.png
Tammy,131,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c200_i.png
Poncho,132,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c6_i.png
Walker,133,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c186_i.png
Papi,134,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c14_i.png
Graham,135,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c197_i.png
Tank,136,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c147_i.png
Fuchsia,137,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c313_i.png
Jeremiah,138,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c221_i.png
Gladys,139,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c19_i.png
Alice,140,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c276_i.png
Norma,141,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c314_i.png
Phil,142,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c400_i.png
Nana,143,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c280_i.png
Freckles,144,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c60_i.png
Goose,145,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c336_i.png
Raddle,146,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c182_i.png
Quillson,147,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c433_i.png
Moe,148,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c16_i.png
Deirdre,149,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c145_i.png
Rudy,150,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c431_i.png
Bruce,151,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c167_i.png
Margie,152,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c32_i.png
Megan,153,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c451_i.png
Nate,154,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c272_i.png
Bubbles,155,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c312_i.png
Egbert,156,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c349_i.png
Piper,157,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c124_i.png
Bertha,158,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c131_i.png
Chester,159,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c260_i.png
Olive,160,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c226_i.png
Diva,161,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c334_i.png
Bea,162,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c350_i.png
Vivian,163,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c29_i.png
Maddie,164,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c15_i.png
Boomer,165,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c47_i.png
Puck,166,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c62_i.png
Axel,167,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c93_i.png
Mac,168,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c384_i.png
Walt,169,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c130_i.png
Keaton,170,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c178_i.png
Alfonso,171,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c185_i.png
Vladimir,172,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c255_i.png
Pango,173,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c382_i.png
Sly,174,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c388_i.png
Butch,175,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c374_i.png
Patty,176,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c151_i.png
Tex,177,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c339_i.png
Pate,178,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c64_i.png
Sylvana,179,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c359_i.png
Francine,180,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c25_i.png
Savannah,181,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c28_i.png
Deli,182,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c165_i.png
Rodeo,183,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c367_i.png
Carmen,184,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c10_i.png
Billy,185,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c95_i.png
Frita,186,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c230_i.png
Mint,187,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c143_i.png
Tom,188,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c421_i.png
Boots,189,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c261_i.png
Flip,190,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c394_i.png
Tiffany,191,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c13_i.png
Felicity,192,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c102_i.png
Buck,193,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c111_i.png
Murphy,194,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c440_i.png
Bella,195,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c438_i.png
Eunice,196,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c110_i.png
Stu,197,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c126_i.png
Sprinkle,198,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c61_i.png
Nibbles,199,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c233_i.png
Boone,200,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c306_i.png
Willow,201,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c399_i.png
Chadder,202,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c426_i.png
Blanche,203,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c432_i.png
Agent S,204,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c215_i.png
Prince,205,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c235_i.png
Doc,206,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c87_i.png
Blaire,207,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c216_i.png
Plucky,208,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c345_i.png
Elvis,209,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c237_i.png
Pierce,210,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c12_i.png
Twiggy,211,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c227_i.png
Beardo,212,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c322_i.png
Ken,213,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c434_i.png
Colton,214,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c163_i.png
Olaf,215,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c160_i.png
Pudge,216,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c187_i.png
Tipper,217,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c283_i.png
Tabby,218,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c268_i.png
Anchovy,219,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c77_i.png
Coach,220,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c135_i.png
Stinky,221,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c273_i.png
Al,222,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c354_i.png
Del,223,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c168_i.png
Deena,224,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c204_i.png
Rodney,225,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c383_i.png
Bettina,226,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c188_i.png
Cole,227,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c265_i.png
Drake,228,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c202_i.png
Lionel,229,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c245_i.png
Iggly,230,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c375_i.png
Pompom,231,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c52_i.png
Avery,232,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c63_i.png
Cyd,233,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c448_i.png
Camofrog,234,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c181_i.png
Broccolo,235,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c208_i.png
Barold,236,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c75_i.png
Rod,237,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c270_i.png
Pecan,238,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c304_i.png
Cyrano,239,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c82_i.png
Winnie,240,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c35_i.png
Sheldon,241,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c67_i.png
Marcie,242,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c172_i.png
Caroline,243,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c229_i.png
Annalisa,244,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c46_i.png
Spike,245,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c193_i.png
Jay,246,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c231_i.png
Jacob,247,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c281_i.png
Peggy,248,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c164_i.png
Kitt,249,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c344_i.png
Marcel,250,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c442_i.png
Hopper,251,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c113_i.png
Sylvia,252,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c144_i.png
Renee,253,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c169_i.png
Gaston,254,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c366_i.png
Tasha,255,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c403_i.png
Victoria,256,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c225_i.png
Portia,257,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c363_i.png
Hopkins,258,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c83_i.png
Ava,259,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c134_i.png
Derwin,260,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c166_i.png
Tammi,261,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c109_i.png
Gonzo,262,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c347_i.png
Purrl,263,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c170_i.png
Hugh,264,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c441_i.png
Tybalt,265,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c275_i.png
Drift,266,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c342_i.png
Chops,267,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c348_i.png
Paolo,268,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c146_i.png
Rowan,269,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c284_i.png
Maggie,270,https://gamewith-en.akamaized.net/article_tools/animal-crossing-new-horizons/gacha/c296_i.png
